关键点定位模型记录,,,,,,,
序号,模型,耗时（GPU|ms）,耗时（CPU|ms）,模型大小（MB）,loss,Acc,
1,mobile_net(0.5),13.286,,2.5,,,
2,mobile_net(0.25),8.126,137.863,0.7358,,,
3,mobile_net(0.125),5.677,68.887,0.2566,,,
4,resnet18,4.219,53.592,44.8,0.35302,99.8551,
5,resnet18_sq,3.89,26.352,9.1,,98.4591,
6,resnet34_sq,4.384,41.478,15.9,,98.8176,
7,inception_v3,10.954,,87.4,,,
,,,,,,,
,,,,,,,
车牌粗定位,,,,,,,
序号,模型,耗时（GPU|ms）,耗时（CPU|ms）,模型大小（MB）,loss,Acc,
1,FaceBox,22.235,,4,0.548122,99.8288,
2,FaceBox,22.235,,4,0.510023,99.8197,
,,,,,,,
,,,,,,,
车牌识别,,,,,,,
序号,模型,耗时（GPU|ms）,耗时（CPU|ms）,模型大小（MB）,loss,Acc,
1,GRU,24.09,,11.2,,,
2,CRNN_256,14.71,,33.4,0.005702,0.998873,
3,CRNN_128,13.83,,26.1,0.021132,0.995869,
4,CRNN_32,13.83,,22.9,0.005807,0.999061,0.97
4,CRNN_32,13.83,,22.9,0.012648,0.998873,
,,,,,,,
,,,,,,,
车型头尾分类,,,,,,,
序号,模型,耗时（GPU|ms）,耗时（CPU|ms）,模型大小（MB）,loss,Acc,
1,resnet18,2.537,,44.8,,0.958542,
,,,,,,,
,,,,,,,
车型识别分类,,,,,,,
序号,模型,耗时（GPU|ms）,耗时（CPU|ms）,模型大小（MB）,loss,Acc,class_num
1,resnet18,2.957,,44.8,1.166324,0.812,100
1,resnet18,2.957,,44.8,1.507182,0.737931,116
